user,value_range,input_type,message,choice
bot,"[1, 2, 3, 4]",int,"1=Build, 2=Trade, 3=Dev Cards(Play/Select), 4=End: ",3
bot,"[1, 2, 3]",int,"1=Collect, 2=Play, 3=End:",2
bot,"[1, 2, 3]",int,"1=Collect, 2=Play, 3=End:",3
bot,"[1, 2, 3, 4]",int,"1=Build, 2=Trade, 3=Dev Cards(Play/Select), 4=End: ",2
bot,"[1, 2, 3]",int,"Player Trade (1), Bank/Port Trade (2), Cancel (3): ",2
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to trade (give away): ,wheat
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to receive: ,brick
bot,"[1, 2, 3]",int,"Player Trade (1), Bank/Port Trade (2), Cancel (3): ",1
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to trade (give away): ,wheat
bot,"[1, 2, 3, 4]",int,How many would you like to trade: ,4
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to trade: ,sheep
bot,"[1, 2, 3]",int,How many would you like to trade: ,1
bot,"[1, 2, 3, 4]",int,"1=Build, 2=Trade, 3=Dev Cards(Play/Select), 4=End: ",2
bot,"[1, 2, 3]",int,"Player Trade (1), Bank/Port Trade (2), Cancel (3): ",1
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to trade (give away): ,sheep
bot,"[1, 2, 3, 4]",int,How many would you like to trade: ,1
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to trade: ,ore
bot,"[1, 2, 3]",int,How many would you like to trade: ,2
bot,"[1, 2, 3, 4]",int,"1=Build, 2=Trade, 3=Dev Cards(Play/Select), 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",3
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",3
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",4
bot,"[1, 2, 3, 4]",int,"1=Build, 2=Trade, 3=Dev Cards(Play/Select), 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",3
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",4
bot,"[1, 2, 3, 4]",int,"1=Build, 2=Trade, 3=Dev Cards(Play/Select), 4=End: ",2
bot,"[1, 2, 3]",int,"Player Trade (1), Bank/Port Trade (2), Cancel (3): ",2
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to trade (give away): ,wood
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to receive: ,wood
bot,"[1, 2, 3]",int,"Player Trade (1), Bank/Port Trade (2), Cancel (3): ",1
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to trade (give away): ,wheat
bot,"[1, 2, 3, 4]",int,How many would you like to trade: ,4
bot,"['brick', 'wood', 'sheep', 'wheat', 'ore']",resource,Which resource would you like to trade: ,brick
bot,"[1, 2, 3]",int,How many would you like to trade: ,1
bot,"[1, 2, 3, 4]",int,"1=Build, 2=Trade, 3=Dev Cards(Play/Select), 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",3
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",3
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",2
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",4
bot,"[1, 2, 3, 4]",int,"1=Build, 2=Trade, 3=Dev Cards(Play/Select), 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",1
bot,"[1, 2, 3, 4]",int,"1=Settlement, 2=City, 3=Road, 4=End: ",3
